model,term,rms_1e5_s1,actual_rms_1e5_s1,norm_ratio,projection,cosine
tianxing,delta_relative_advection,1.374562760421137,1.0791215218865886,1.2737793960573034,0.973914399685121,0.764586397534497
tianxing,wind_on_control_gradient,1.42905579257761,1.0791215218865886,1.3242769823358207,-0.016760539047672045,-0.012656369680388942
tianxing,control_on_delta_gradient,1.5517123026412454,1.0791215218865886,1.4379402793565303,0.7788943138077953,0.5416736181535619
tianxing,nonlinear_advection,0.5605888102066561,1.0791215218865886,0.519486266223844,0.21178062492499766,0.4076731931037085
tianxing,delta_planetary_advection,0.11716240476775332,1.0791215218865886,0.10857202121492543,0.0021012608211790212,0.019353612446980587
tianxing,delta_stretching,0.9414006443975935,1.0791215218865886,0.8723768596068562,0.10946758746110108,0.12548199353939024
tianxing,remainder,0.7149293600094823,1.0791215218865886,0.6625105194451107,-0.08548324796740132,-0.1290292689073047
pangu_6h,delta_relative_advection,1.6371660352641615,1.481504636463559,1.105069801990074,0.937011209558668,0.8479203828312418
pangu_6h,wind_on_control_gradient,1.8682263850422272,1.481504636463559,1.2610331004442865,-0.08150724253207084,-0.06463529189150884
pangu_6h,control_on_delta_gradient,2.0511792684608467,1.481504636463559,1.3845243666311673,0.8905743259970984,0.6432348519542844
pangu_6h,nonlinear_advection,0.9632445978991179,1.481504636463559,0.6501799415211018,0.12794412609364028,0.1967826411167251
pangu_6h,delta_planetary_advection,0.1264760708657873,1.481504636463559,0.08537001353414143,-0.00615742453974818,-0.07212631560946965
pangu_6h,delta_stretching,0.9415236370906338,1.481504636463559,0.6355185221276848,0.023178299546490026,0.03647147760365854
pangu_6h,remainder,0.5443919512649816,1.481504636463559,0.3674588238646881,0.045967915434590244,0.12509677941906583
