forecast,start_hour,end_hour,K_change,relative_advection,planetary_advection,stretching,residual,mean_remainder_rms
control_tianxing,0,24,0.13124370300574498,-0.12198325401756946,0.0003665670806016376,0.3890092982733601,-0.13614890833064738,0.3531568686339152
control_tianxing,24,72,4.059260137472833,1.7081786573355275,-0.08084998802996207,1.962009070877172,0.4699223972900955,0.2342228540527758
control_tianxing,72,120,3.195812321990643,-5.767063234968441,0.9849388220800048,9.711264216763706,-1.7333274818846265,0.17889544177192923
control_tianxing,120,168,-3.752267215285459,-24.424407948411698,2.0241798913189277,23.643665051745415,-4.995704209938102,0.15199339882459467
optimal_tianxing,0,24,0.3441791022594811,-0.5321025595232736,0.00020938997842190245,0.8181479979024688,0.05792427390186411,0.3957255111970922
optimal_tianxing,24,72,1.4682272006307948,-1.249968502324409,-0.04921743629661243,2.765322239826531,0.002090899425285647,0.20898952861769118
optimal_tianxing,72,120,1.1385363312759722,-7.721994621412619,0.06760544049538178,8.30706155491738,0.48586395727582915,0.29486098720993287
optimal_tianxing,120,168,-0.6319505909858281,-8.848652686912182,0.5292868738392023,9.844800506830493,-2.1573852847433415,0.225297876738438
era5init_tianxing,0,24,0.4464642915585054,-0.00886803773987922,0.006261842300099168,0.4040948678033504,0.04497561919493511,0.35403142265002413
era5init_tianxing,24,72,5.236312263570009,2.48567361198415,-0.11012737578101392,2.864215851264238,-0.003449823897364576,0.2941840386318227
era5init_tianxing,72,120,3.332946777946618,-6.896827013003675,1.0703682568901745,12.130942831253623,-2.971537297193506,0.19585985122314412
era5init_tianxing,120,168,-5.2177749920575565,-25.737252480488024,1.2255832927444186,25.05889605966374,-5.765001863977696,0.15147214897513497
control_pangu_6h,0,24,0.20342614711276413,-0.09797086774747617,-0.0025588293386172977,0.48487561584772026,-0.18091977164886272,0.36510433605774717
control_pangu_6h,24,72,6.206581995304608,2.6519412924557075,-0.0495730550832101,2.9531259136762795,0.6510878442558319,0.27640267902039706
control_pangu_6h,72,120,1.2122871579617884,-4.491276022139687,1.4771415804725154,7.064374560030486,-2.8379529604015272,0.24920382438676364
control_pangu_6h,120,168,-4.060628316320317,-27.548317978063107,2.831011330778427,26.569616382444345,-5.912938051479977,0.22164973359841866
optimal_pangu_6h,0,24,0.5539374872550479,-0.43390201333504136,0.007177342351160245,1.0398616762940975,-0.059199518055168626,0.3735094563257228
optimal_pangu_6h,24,72,1.6381019636921863,-1.1096185289978129,-0.004384024755479661,2.8591569585324557,-0.10705244108697695,0.27369871340272534
optimal_pangu_6h,72,120,-0.0918305905569663,-12.773392900040282,-0.07602575078556056,11.379297344641216,1.3782907156276611,0.2691921784563883
optimal_pangu_6h,120,168,2.5072025688295163,-16.60316038794032,0.21535945056504258,21.45250785596384,-2.557504349759048,0.20109977316764868
era5init_pangu_6h,0,24,0.38575335466392807,0.08609602393854268,0.0025075153979073287,0.13454332749302195,0.16260648783445614,0.28437017426225564
era5init_pangu_6h,24,72,7.946943919593032,4.160025937355453,-0.10380610528501949,3.4865153277493115,0.40420875977328913,0.33429385956600566
era5init_pangu_6h,72,120,-2.1686485265330377,-3.7675029696763387,0.8093074645448667,3.5238990266506427,-2.7343520480522097,0.2666520004264575
era5init_pangu_6h,120,168,-1.9125008203768346,-21.557724924878034,2.6571829237749593,22.551282430207486,-5.563241249481249,0.2505223818923769
