model,lead_hours,layer_hpa,component,control_control,control_optimal,optimal_control,optimal_optimal,field_at_control_center,position_in_optimal_field,position_in_control_field,field_at_optimal_center,field_symmetric,position_symmetric,total,interaction
tianxing,0,850–700,u,-0.700603391065115,-0.700603391065115,-0.6557386923505065,-0.6557386923505065,0.04486469871460852,0.0,0.0,0.04486469871460852,0.04486469871460852,0.0,0.04486469871460852,0.0
tianxing,0,850–700,v,2.6427270787493917,2.6427270787493917,2.7430508008935868,2.7430508008935868,0.10032372214419505,0.0,0.0,0.10032372214419505,0.10032372214419505,0.0,0.10032372214419505,0.0
tianxing,0,850–500,u,-0.8475532349065211,-0.8475532349065211,-0.81104285645776,-0.81104285645776,0.03651037844876115,0.0,0.0,0.03651037844876115,0.03651037844876115,0.0,0.03651037844876115,0.0
tianxing,0,850–500,v,2.3677817168826776,2.3677817168826776,2.4730869107903874,2.4730869107903874,0.10530519390770987,0.0,0.0,0.10530519390770987,0.10530519390770987,0.0,0.10530519390770987,0.0
tianxing,6,850–700,u,-0.8353452221194888,-1.0107265002765704,-0.8181802524797668,-0.9864552430640818,0.017164969639722027,-0.16827499058431505,-0.1753812781570816,0.024271257212488573,0.0207181134261053,-0.17182813437069833,-0.15111002094459303,0.007106287572766545
tianxing,6,850–700,v,2.1325616392761377,2.10825372470238,2.259060409539592,2.237138357989969,0.12649877026345413,-0.02192205154962279,-0.024307914573757916,0.12888463328758926,0.1276917017755217,-0.023114983061690353,0.10457671871383134,0.0023858630241351264
tianxing,6,850–500,u,-0.9436792588626004,-1.1721586930178902,-0.9622632156685894,-1.1872390432259428,-0.01858395680598901,-0.22497582755735335,-0.22847943415528982,-0.01508035020805254,-0.016832153507020775,-0.22672763085632158,-0.24355978436334236,0.0035036065979364706
tianxing,6,850–500,v,1.7708647614566786,1.7319043832950818,1.909025616405149,1.8658581947270627,0.1381608549484703,-0.04316742167808618,-0.03896037816159681,0.13395381143198093,0.13605733319022562,-0.041063899919841496,0.09499343327038412,-0.004207043516489373
tianxing,12,850–700,u,-3.036966682329321,-3.030663902216965,-3.0524781090992676,-3.044696795915724,-0.015511426769946546,0.007781313183543581,0.006302780112356299,-0.014032893698759263,-0.014772160234352905,0.00704204664794994,-0.007730113586402965,0.0014785330711872824
tianxing,12,850–700,v,1.3914343854067681,1.3855212334448166,1.5930435541694687,1.5831177671035688,0.20160916876270063,-0.009925787065899971,-0.005913151961951524,0.19759653365875218,0.1996028512107264,-0.007919469513925748,0.19168338169680066,-0.004012635103948448
